Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason
2025-09-03,WIFI.JK,9.0,2630.0,23670.0,0.0,MANUAL BUY MOO - Filled
2025-09-03,WGSH.JK,147.0,166.0,24402.0,0.0,MANUAL BUY MOO - Filled
2025-09-03,WIFI.JK,9.0,2630.0,23670.0,0.0,MANUAL BUY MOO - Filled
2025-09-03,WGSH.JK,147.0,166.0,24402.0,0.0,MANUAL BUY MOO - Filled
